Publisher,Website,Type of Publisher,Genres Published,Year Established,Address,Name,Title,Mission Statement / Editorial Focus,Submission Info,Distributors
Chax Press,https://chax.org,Press,"Essays, Fiction, Poetry, Visual Art",1984,"Tucson, AZ",Charles Alexander,"Executive Director, Poet","The ongoing mission of CHAX is 1) to publish literary editions of challenging and innovative contemporary writing and distribute them to the public, 2) to create unique book arts editions which are generative conjunctions of literature and the book arts, and 3) to present events that further public knowledge about explorations in contemporary writing and the book arts.  CHAX is a poet’s press and a poets’ press, i.e. the vision of a poet, and forming a community of poets; and among the various practices and changes over the years, there are some constants.  CHAX  focuses on a book at a time, each one individual and different, each one a marriage of form/design and literary content. Our letterpress books emerge from intense collaboration between poet and book artist. They show new ways in the art of the book.  CHAX also curates readings and other events. Our special publishing projects include one-off and limited-edition broadsides.  CHAX maintains a commitment to innovation and experimentation in literature, but the modes of such innovation are not seen narrowly, and within that commitment is also a commitment to diversity of peoples and to acts of collaboration.",No Contests no,
Chicory Press,https://www.chicorypress.com/,Press,"Fiction, Poetry, Audio, Autobiography Memoir, Essays, Feminist, Horror Thriller Suspense, Mystery Crime, Regional, Sci Fi Fantasy Speculative",2023,"Fall River, MA",Stephen Reney,President,"Chicory Press is dedicated to bringing great stories to life. We specialize in working with both first-time and established authors every step of the way, from manuscript writing to printing and beyond, and take the guesswork and intimidation out of the publishing process.",,
Circling Rivers,http://circlingrivers.com,Press,"Essays, Fiction, Poetry, Translation, Visual Art",2013,"VA, 23225",Jean Huets,,"Circling Rivers is an independent publisher of literary fiction, nonfiction, and poetry.  ""The circling rivers, the breath, and breathing it in and out…"" — Walt Whitman, I SING THE BODY ELECTRIC",,
Clare Songbirds Publishing House,https://www.claresongbirdspub.com/,Press,Poetry,2017,"Auburn, NY",Laura Williams French,Publisher,"Clare Songbirds Publishing House was established to provide a print forum for the creation of limited edition, fine art from poets and writers, both established and emerging.  We strive to reignite and continue a tradition of quality, accessible literary arts to the national and international community of writers, and readers.  We support our literary artists with high quality services and on-going support.  Manuscripts are carefully chosen for their ability to propel the expansion of art and ideas in literary form.  We provide an accessible way to promote the art of words in order to resonate with, and impact, readers not yet familiar with the siren song of poets and writers.  Clare Songbirds Publishing House espouses a singular cultural development where poetry creates community and becomes commonplace in public places.",No,
Coach House Books,http://www.chbooks.com,Press,"Fiction, Poetry, Translation, Visual Art",1997,"Toronto, ON",Alana Wilcox,Editorial Director,"Coach House Books publishes very literary fiction, poetry, and non-fiction. We're in an old coach house on bpNichol Lane in Toronto, and we print our books on our own Heidelberg press. We like to publish adventurous books, innovative books, books that surprise.",No Contests no,
Codhill Press,http://www.codhill.com,Press,"Fiction, Poetry, Translation, Visual Art",1999,"New York, NY",Susannah Appelbaum,Publisher,Poetry. Prose. Purpose.,,
Coffee House Press,https://coffeehousepress.org/,Press,"Fiction, Poetry, Essays",1972,"Minneapolis, MN",Laura Graveline,Publicity Director,"MISSION
Coffee House Press creates new spaces for audiences and artists to interact, inspiring readers and enriching communities by expanding the definition of what literature is, what it can do, and who it belongs to.  VISION
To be the nation’s leading independent literary publisher, and to demonstrate our vision for the future of literature through innovative off-the-page programming that broadens and deepens literature’s relevance to the world.  VALUES
Excellence
Inclusivity
Collaboration
Discovery
Generosity",No,
Como un lugar,https://www.comounlugar.com/en,Press,"Poetry, Cross Genre Hybrid, Essays",2022,"Brooklyn, NY",,,"We specialize in works of poetry, essays, and hybrid texts that doesn’t entirely fit into the current conventions of genre. Our books seek to sketch alternative reading maps that interconnect publishing projects across the Global South. We publish in Spanish.",,
Compass Press at the Community College of Baltimore County,https://www.compasspressatccbc.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Essays",2023,"Baltimore, Maryland",Evan Balkan,,"Compass Press accepts submissions of previously unpublished, full-length novels, creative nonfiction, poetry collections, and short story collections from emerging or established authors.",yes Submission Guidelines URL https://www.compasspressatccbc.com/submissions Reading Period Year round Response Time 6-8 months Charges Writers A Submission/Reading Fee no Author Payments royalties Contests no,IngramSpark
Concrete Wolf Poetry Series,http://ConcreteWolf.com,Press,Poetry,2001,"Newport, Oregon",Lana Hechtman Ayers,Managing Editor,"Concrete Wolf Poetry Series encompasses three poetry press imprints: Concrete Wolf, MoonPath Press, and World Enough Writers. Concrete Wolf  hosts the national Poetry Chapbook and Louis Awards. MoonPath Press publishes poetry collections from poets living in the U.S. Pacific NW states of Alaska, Oregon, and Washington, and hosts the annual Sally Albiso Poetry Book Award.  World Enough Writers publishes international poets and poetry antologies.",,
Conocimientos Press,https://www.conocimientospressllc.com/,Press,"Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Feminist, Regional, Translation",2017,"Drytown, CA",Josie Méndez-Negrete,Publisher,"Conocimientos Press places emphasis on those stories that voice the heart of their people, as they document stories of struggle and resistance. In our quest for community knowledge, we call for submissions from those who wish to share their stories. The press aims to provide access to scholarly ideas not available in books. Submit your manuscript. We look forward to working with you in the near future.",No Charges Writers A Submission/Reading Fee no Contests no,
Contra Mundum Press,https://www.contramundumpress.com/,Press,"Fiction, Poetry, Essays, Reviews, Translation, Visual Art",2011,"Brooklyn, NY",Rainer J. Hanshe,Publisher,"Our principal interest is in Modernism and the principles developed by the Modernists, though we also publish challenging and visionary works from other eras. The primary aim of Contra Mundum is to publish translations of writers who in their use of form and style are à rebours, or who deviate significantly from more programmatic and spurious forms of experimentation. Our preference is for works that have not yet been translated into English, are out of print, or are poorly translated, for writers whose thinking and aesthetics are in opposition to timely or mainstream currents of thought, value systems, or moralities. We also reprint obscure and out-of-print works we consider significant but which have been forgotten, neglected, or overshadowed. The notion of a poetics of hospitality informs our vision. In being a home to so many lone and often exiled or forgotten voices, CMP serves as a home to world culture, welcoming the voices, and so the lives and experiences, of “foreigners.” From Gilgamesh to Emilio Villa and Mouchard, in publishing translations from as many different languages as we have, CMP not only welcomes strangers into its house, but presents them to the world as our honored guests.",No Charges Writers A Submission/Reading Fee no Contests no,
Copper Canyon Press,https://www.coppercanyonpress.org/,Press,Poetry,1972,"Port Townsend, WA",Michael Wiegers,Editor-in-Chief,Poetry is vital to language and living.  Copper Canyon Press publishes extraordinary poetry from around the world to engage the imaginations and intellects of readers.,,
Cornerstone Press,http://www.uwsp.edu/cornerstone,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Environment Nature, Essays",1984,"Stevens Point, Wisconsin","Ross K. Tangedal, Ph.D.",Director & Publisher,"​​​​​​​​​​​Mission
Cornerstone Press provides experiential learning opportunities to students pursuing careers in writing, editing, and publishing, by acquiring and developing writers that inspire, interrogate, and inform; fostering collaboration with community, university, and industry partners; and preparing students for life beyond college.  Vision
To be a leading advocate for Midwestern and regional voices, to develop literary community through strategic growth, and to manage resources ethically through responsible business practices.",No Charges Writers A Submission/Reading Fee no Contests no,
Corpus Callosum Press LLC,https://www.corpuscallosumpress.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Environment Nature, Experimental, Feminist, Humor, Interviews, Visual Art",2017,"Hastings, NE",Eric R. Tucker,Managing Editor,"Corpus Callosum Press LLC is a literary press, based in Hastings, Nebraska, that specializes in new fiction, poetry, and creative nonfiction. Like our quite small and unassuming neurological namesake, we aim to connect: through literature and visual art, through shared experiences, through recognition of our common humanity.",No Charges Writers A Submission/Reading Fee no Contests no,
Coverstory books,http://coverstorybooks.com,Press,"Fiction, Poetry",2017,"Market Rasen, Lincolnshire",Ian Gouge,,My focus is on literary fiction and poetry (including short story and poetry anthologies). One of my main goals is to help surface writers who might struggle to get published otherwise (including via a hybrid publishing model for some debut works).,,
Coyote Arts,https://coyote-arts.com/,Press,"Fiction, Poetry, Essays, Translation, Visual Art",2020,"Albuquerque, NM",Jordan Jones,"Co-owner, Co-Publisher, and Editor","Coyote Arts is a literary arts publisher dedicated to the power of words and images to transform human lives and the environment we inhabit. We intend to blend a local focus with a global perspective.  We publish works in the genres of poetry, fiction, non-fiction, and drama that engage the sense of wonder and possibility.  We carry on where our previous enterprises—Asylum Arts and Leaping Dog Press—left off, adding a southwest flair and the mischievous nature of Coyote, aligning with our chosen home of Albuquerque, New Mexico. This is a crossroads of culture, blessed with millennia of pre-Columbian culture and a history entwined with that of Mexico. Despite a fraught 400 years of settler culture, we have at present an opportunity to blend world culture in a place where many cultures have come together.",No Charges Writers A Submission/Reading Fee no Contests no,
Crisis Chronicles Press,http://ccpress.blogspot.com/,Press,"Fiction, Poetry, Visual Art",2008,"Ohio, 44134",John B. Burroughs,Publisher,Vital independent literature since 2018. We publish mostly poetry but dabble in other genres. Never a reading fee.,,
Cult. Magazine/Cult. Press,https://www.cultmag.net/,"Magazine, Press","Audio, Essays, Fiction, Graphic Novels Comics, Poetry, Reviews, Translation, Visual Art",2022,"Brooklyn, NY",Matt Gillick,"Managing Editor, Co-Founder","Simply put, we’re tired of so many barriers to entry. Whether it’s word count, subject matter limitations, political or religious implications, we’re tired of seeing so many great works being cast aside for one arbitrary reason or another. So, we created a space where that kind of work can thrive. We are in the business of publishing stories, poems, essays, and art that make us feel something and stretch our brains to new realizations of form and possibility.  Cult, as the name suggests, wants the weird, the risk-taking: the stuff that gets tucked away because someone thinks no one would ever publish that.  We want art that challenges and confronts; not coddles and reaffirms.  We will never subscribe to a particular style, theme, or artistic movement. We want all voices from all backgrounds and experience who feel they have something worthy to say to submit. Of course, we want all kinds of folks to submit and grace the pages of our little rag, but what ultimately matters is what shows up on the page. In summation, the work takes priority.",No Contests no,
Curious Curls Publishing,https://www.curiouscurlspublishing.com/,Press,"Fiction, Poetry, Visual Art",2021,"Pittsburgh, PA",Christian David Loeffler,Editor,"Curious Curls Publishing is a literary press based in Pittsburgh, Pennsylvania and established in 2021.  Curious Curls seeks to bring forth a new wave of literature from fascinating authors around the world.  Curiosity is not just an image - it's a way of life.  Publications are not limited by form or genre, but focus is on the way in which these works manage to capture the reader in unexpected ways.",No,
Day Eight,http://dayeight.org,"Magazine, Press","Poetry, Reviews",2007,"Washington, DC",Robert Bettmann,President,"The mission of Day Eight is to empower individuals and communities to participate in the arts through the production, publication, and promotion of creative projects. Our projects include an arts magazine with literary program, poetry events, an annual college student arts journalism competition, an arts writing fellowship, and education projects.",No Charges Writers A Submission/Reading Fee no Contests no,
Deerbrook Editions,http://www.deerbrookeditions.com,Press,"Fiction, Poetry",2002,"Cumberland, ME",Jeffrey Haste,,"Deerbrook Editions is a literary small press publishing noteworthy and emerging authors in well-designed trade books. The press presents authors to you in quality paper back books. The design is clean and unique to each book. The press works with authors on book contents and covers, often using original art or photography from author or artist collections. You can purchase books on this site via PayPal using the payment method of your choice. You can view sample pages of several of the latest books at issuu.com/deerbrookeditions. Our mission is to provide literature that is relevant and stimulating, to advocate and support authors by giving them a wider audience, and to connect authors and artists with their community by offering readers a new experience through literature. We plow earnings back into books.
Our garden is one of books. We plant seeds of intellect and harvest nourishment. If you value art and culture then you are in a likely place to find something fruitful for the eye and mind. Our three graces are reading, writing, and teaching.",,
DENSE,https://www.densemagazine.org,"Magazine, Online, Press","Creative Nonfiction, Poetry, Cross Genre Hybrid, Environment Nature, Essays, Experimental, Graphic Novels Comics, Regional, Sci Fi Fantasy Speculative, Visual Art",2021,"Newark, NJ",Petia Morozov,Director and Editor in Chief,"DENSE is a space to dream about the beauty of complicated places, and a call to act with care for those places. Learning from New Jersey, America's most densely populated state, DENSE channels the lessons of how we got here and speculates on where we're headed. We celebrate the diversity, tenacity and underdog wisdom that emerge from the dark shadows of the colonial American city. As our world grows ever more urban in ways that defy easy categories, we strive to ask, how? DENSE experiments in storytelling formats that weave world-building, memory and collective action as interconnected practices toward radical belonging. Our Newark-based bookshop, design studio, zine library and community space are a collaborative resource and springboard for place-based transformation with our planet.",No Charges Writers A Submission/Reading Fee no Contests no,
Diálogos / Lavender Ink,http://www.lavenderink.org,Press,"Fiction, Poetry, Translation, Visual Art",1995,"New Orleans, LA",Bill Lavender,Publisher,"ABOUT THE PRESS
Our Privacy Policy  We don’t share any of your information with anyone, ever.  About Lavender Ink and Diálogos  Lavender Ink was founded in 1995 in New Orleans by Bill Lavender, who is still the Director and Editor in Chief. The Press is a sole-proprietorship, not a 501-C3 nor any other type of corporation, and is funded solely by revenues from book sales and some small grants and funding initiatives for individual books. Prior to 2012 the press published only poetry, but is now publishing fiction, nonfiction and other genres, also. Diálogos is an imprint of Lavender Ink devoted to literatures which have cross-cultural significance, primarily but not exclusively literature in translation. It is envisioned, too, that such work will often have a political component.  Although there is no formal editorial board, submissions are peer-reviewed via a large network of poets, writers and scholars around the nation. Many of the authors and translators in our current list peer-review new submissions, and though the list of those who have helped out in the past is long, we single out Peter Thompson, professor of romance languages at Roger Williams University, longtime friend and supporter of the press, whose advice on matters of translation and world literature we cannot do without. It was out of conversations with Peter that Diálogos was born.",,
DILIM Press,https://www.dilimpress.com/,Press,"Fiction, Poetry, Experimental, Sci Fi Fantasy Speculative",2026,"Lewes, DE",M. Flores,Anthology Submissions,"Thank you for your interest.
DILIM is not darkness. It exists between light and shadow to illuminate hidden realms of the archipelago.  DILIM is an independent press started in January 2026 to highlight the work of Filipino diaspora writers specializing in fantasy, science fiction, horror, supernatural, mythological, and folktales (original and retold).  We love the creative community that is moving the culture of the Philippines forward. #bayanihan  We champion literary excellence. We focus on supporting intellectual freedom. 
We pledge to: 
* Support authors who take risks. 
* Challenge readers who seek depth. 
* Focus on creative growth for our community.","no Charges Writers A Submission/Reading Fee no Author Payments royalties, cash, copies Contests no Instagram https://instagram.com/dilim.press",Coming soon
DISCOUNT GUILLOTINE,https://www.discountguillotine.com,"Magazine, Press","Fiction, Poetry, Cross Genre Hybrid, Essays, Feminist, Interviews, Reviews, Translation",2024,"Queens, New York",Maya Cordero,Founder,"DISCOUNT GUILLOTINE is an international collective of artists and editors focused on creating physical communities across the US and Europe, and platforming artists from marginalized communities. We host regular events in New York, Los Angeles, Philadelphia, DC, London, and Glasgow. We accept work written in English, Mandarin, French, Greek, German, and Spanish.",No Charges Writers A Submission/Reading Fee no Contests no,
Downingfield Press,https://downingfield.com/,Press,"Essays, Fiction, Poetry, Visual Art",2017,"Melbourne, VIC",Mitchell Cheng-Mader,Managing Director and Publisher,"We are an independent Australian publisher with a global reach, committed to amplifying diverse voices and narratives. Our collaboration extends to both seasoned and emerging writers, with a particular emphasis on narrative non-fiction genres such as memoirs, biographies, histories, politics, and current affairs. We are also dedicated to exploring the multifaceted landscape of literary, contemporary, and avant-garde poetry through our critically-acclaimed poetry list.",,
Dream Pop Press,https://www.dreampoppress.net,Press,"Poetry, Reviews, Visual Art",2017,"Roanoke, VA",Isobel O'Hare,Editor-in-Chief,"Dream Pop is comprised of Dream Pop Journal, a weekly online literary journal, and Dream Pop Press, its small press arm that published its first set of chapbooks in Fall of 2019 and will publish its second set in 2022. Dream Pop seeks to make space for non-narrative, linguistically inventive writing. We are interested in lyric memoirists, cross-genre experimenters, fearless inventors, and poets who dream in made-up languages.",No,
DSTL Arts,https://DSTLArts.org,Press,"Fiction, Poetry, Essays, Graphic Novels Comics, Visual Art",2012,"Los Angeles, California",Luis Antonio Pichardo,"Founder, Executive Director","DSTL Arts is a nonprofit arts mentorship organization that inspires, teaches, and hires emerging artists from underserved communities. This mission is achieved through various programs and publishing opportunities designed to empower emerging artists from historically-marginalized communities in Los Angeles, California.  Our programs include our Poet/Artist Development Program, which serves emerging artists, ages 18 and older, from historically-marginalized communities, teaching them and developing their skills to become working artists. This program guides participants through consistent, year-round mentorship and Teaching Artist Internships as they craft chapbook-length manuscripts of literary and/or visual art for publication through our small press.  Additionally, we offer zine-making and bilingual creative writing workshops in the historically-underserved communities of South Central Los Angeles and East Los Angeles, all of which culminate in the publishing of multiple zines throughout the year, including our Conchas y Café Zine, a zine that anthologizes on a biannual basis the creative writing produced through our bilingual creative writing classes; our annual Art Block Zine, which gathers literary and art submissions from emerging artists residing in Los Angeles County; and our annual Aurtistic Zine, which features literary and art submissions from Autistic artists.  Lastly, we offer community-based literary arts workshops co-led by Teaching Artist Interns hired through our Poet/Artist Development Program. These Teaching Artist Intern-led workshops provide additional professional development for our Teaching Artist Interns as they collaborate with community members to create works of art and writing to be published in a social justice-themed anthology.  All of our publications have a community-centered focus, seeking to empower the most underrepresented populations in mainstream media through the literary and visual arts, ultimately adding to the literary and arts world through our grassroots publications.","no Author Payments royalties, copies, subscription Contests no Facebook https://facebook.com/DSTLArts Twitter https://twitter.com/DSTLArts Instagram https://instagram.com/DSTLArts",Self-Distribution
Dulzorada Press,http://dulzorada.com,Press,"Fiction, Graphic Novels Comics, Poetry, Translation, Visual Art",2019,"Garland, TX",Jose Garay Boszeta,content manager / translator / language laborer,"DULZORADA is an Autonomous Press dedicated to the publication of classic and contemporary Latin American literary works in English translation. We are inspired by the necessity to constantly reevaluate, restore and recover Latin American narratives into their historical context for English speaking audiences around the world.",,
EastOver Press,https://www.eastoverpress.com,"Online, Press","Essays, Fiction, Poetry, Visual Art",2020,"Rochester, MA",Walter Robinson,Editor,"EastOver Press is an independent literary press with an online journal named Cutleaf.  EastOver Press specializes in publishing collections of short stories, essays, and poetry in a format that honors both the writing and the writer. We are excited to promote writing that speaks to our commonalities and our differences.",,
Echo Thread Books,https://www.echothreadprojects.com,Press,Poetry,2024,"Skillman, NJ",Gregg Yupanki Bautista,Founder & editor,"Echo Thread Books is an independent small press committed to providing a platform for underrepresented voices from communities that are often systemically overlooked or silenced. We strongly advocate for work from BIPOC authors and the identities that come with their own histories, ensuring that they feel visible. In providing them visibility, we provide others visibility.",No Charges Writers A Submission/Reading Fee no Contests no,
Edition Monhardt,https://www.monhardt.de,Press,"Essays, Fiction, Poetry, Translation, Visual Art",2015,"Berlin, 12163",Stefan Monhardt,,"Literature (short prose, poem, essay, reportage) beyond the mainstream – with special focus on contemporary German-speaking authors and South-Eastern Europe. Carefully edited and designed books, foreign poetry published in bilingual editions. Open for experiments, attentive to the dimension of translation and the pluralism of its procedures.",,
Erie Street Press,https://www.eriestreetpress.com/,Press,Poetry,1979,"Oak Park, IL",Henry Kranz,Publisher,"Contemporary midwestern poetry. Established in 1979, celebrating voices, some of which would otherwise howl..",No,
Etruscan Press,http://www.etruscanpress.org,Press,"Fiction, Poetry, Essays, Translation, Visual Art",2001,"Wilkes-Barre, PA",Amanda Rabaduex,Managing Editor,"Housed at Wilkes University and partnering with Youngstown State University, Etruscan is a non-profit literary press working to produce and promote books that nurture the dialogue among genres, cultures, and voices. Etruscan publishes books of poems, novels, short stories, creative non-fiction, criticism, translation, and anthologies.",No Charges Writers A Submission/Reading Fee no Contests no,
Ex Ophidia Press,https://exophidiapress.org,Press,Poetry,2016,"Omaha, NE",Amy Haddad,Publisher and Chief Editor,"The mission of Ex Ophidia Press is to publish English language poetry that explores new territories of the imagination by using the traditional techniques of poetry: rhythm and melody, imagery and metaphor, irony and insight, apt language for important ideas.",no Contests no,
Fahmidan Journal,https://www.fahmidan.net/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Criticism Reviews, Environment Nature, Essays, Feminist, Flash Fiction, Horror Thriller Suspense, Humor, Interviews, Mystery Crime, Political, Regional, Reviews, Sci Fi Fantasy Speculative, Visual Art",2020,"London, UK",A.R. Arthur/ A.R.Salandy,Editor in Chief,"Founded in the Summer of 2020 by Ranna Kisswani & A.R. Arthur (Formerly A.R. Salandy), Fahmidan Journal hopes to bring out diverse voices and their cacophonous words. Our Press, founded in 2021 is focused on the publication of POC & Women Identifying voices ardent in battle against subjugation! Now in it's third year, Fahmidan Journal is transitioning to a paying market!  We will be publishing quarterly issues with submissions year round. 
Send us your thought provoking existentialism, your phobias, your darkest moments.  Entrance us with your whimsical fantasy. Move us to tears with your truth in a world of suffering. Captivate and intrigue us with your hopes and dreams.","yes Submission Guidelines URL https://www.fahmidan.net/journal-submissions Reading Period Year round Response Time 25 days Author Payments cash Formats paperback, hardcover, chapbook, ebook, digital Contests no Twitter https://x.com/fahmidangroup Instagram https://www.instagram.com/fahmidangroup/ Number Of Issues Per Year 4 Total Subscribers 3750 Total Circulation 4000+ Number Of Books Published Per Year 1","Amazon/Fahmidan Do You Have Any Cover Letter Advice? We care more about your writing and getting to know you and your style through it than through your cover letter. Don't stress unless we specifically ask for that call. What Do You Look For In A Submission? Fahmidan Submissions are 24/7 year-round!
Fahmidan comes out four times a year online. Send us your thought-provoking existentialism, your phobias, your darkest moments. Entrance us with your whimsical fantasy. Move us to tears with your truth. What Advice Do You Have For First-time Submitters? Take the time to provide the best submission possible and make sure to edit well. We're all human. Keep submitting even if you dont succeed at first. Who Is Your Ideal Reader? Someone who is curious, believes in diversity in action, whereby everyone is included, not just performatively and finally, a reader who reads between the lines and appreciates the white space just as much!"
"Fallen Tree Press, LLC",https://www.fallentreepress.com,Press,Poetry,2022,"Laurel, MD",Terri Simon,Managing Editor,"Fallen Tree Press is a small press specializing in publishing poetry chapbooks. We are focused on being part of the larger writing community. It’s our intent to promote a diverse group of writers, especially those identifying as women, BIPOC, LGBTQIA+, and members of underserved groups. Whenever possible, a portion of the proceeds from book sales will be donated to charity. The charities will be selected in conjunction with the authors.",No Contests no,
Featherproof Books,http://www.featherproof.com,Press,"Essays, Fiction, Poetry, Visual Art",2005,"IL, 60622",Jason Sommer,Editor-in-Chief,"Publishing strange and beautiful fiction and nonfiction and post-, trans-, and inter-genre tragicomedy.",,
FENCE,http://www.fenceportal.org,"Magazine, Press","Fiction, Poetry, Audio, Essays, Reviews, Translation, Visual Art",1998,"Astoria, New York","Emily Wallis Hughes, Jason Zuzga",Editorial Co-Director,"Fence maintains a venue, in print, aural, and digital forms, for writing that speaks across genre, sociocultural niche and ideological boundary as accessibly as it can, such that Fence publishes largely from its unsolicited submissions and is committed to the literature and art of queer writers and writers of color.  Fence encourages collective appreciation of variousness by inhering collectively outside of the constraints of opinion, trend, and market.",No Charges Writers A Submission/Reading Fee no Contests no,
Feral Dove,https://feraldove.com/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Drama, Essays, Experimental, Interviews, Sci Fi Fantasy Speculative, Visual Art",2020,"Philadelphia, PA",Evan Femino,Publisher,Feral Dove is an independent small press publishing books that are uncompromising & urgent from writers around the world. Feral Dove Magazine is an irregularly updated internet archive featuring experiments in visual poetry & other cyberwriting.,,
Fernwood Press,https://www.fernwoodpress.com/,Press,Poetry,2018,"Newberg, OR",Eric Muhr,editor,"Fernwood Press promotes poetry collections that speak to the human capacity for spiritual experience.  A not-for-profit literary imprint, Fernwood Press is named for a one-acre plot of land overlooking a meandering creek in what was an unincorporated area of Yamhill County on the easterly boundary of Newberg, Oregon, site of the state’s first Quaker meeting. Four prominent headstones mark the graves of the Brutscher and Everest families in this Pioneer Cemetery. It adjoins Friends Cemetery, the burial ground of the community of Quakers drawn to Newberg following the platting of the town by Jesse Edwards in 1883. As the enclave of the area’s first Quaker families, Fernwood represents both our roots as a Quaker press and our aim to provide a home to all poets whose collections uphold and perpetuate the Quaker pursuit of corporate mysticism.",No Charges Writers A Submission/Reading Fee no Contests no,
Fifth Stanza Press,https://www.fifthstanzapress.com/,Press,Poetry,2026,"Portola Valley, CA",John Fadely,Publisher,"Fifth Stanza Press is dedicated to publishing debut and second collections of poetry by writers in midlife or later.  Writing and publishing poems later in life may come without conventional literary credentials, but for Fifth Stanza, the only credential is the poetry itself. Our purpose is to help give voice to older writers who haven't yet found their place. We admire and are open to a diverse range of poetic styles, schools and movements.","yes Submission Guidelines URL https://www.fifthstanzapress.com/submissions Reading Period Varies Response Time 3-5 months Charges Writers A Submission/Reading Fee no Author Payments royalties, cash, copies Contests no Facebook https://www.facebook.com/people/Fifth-Stanza-Press/61588550017243/?mibextid=wwXIfr&rdid=a7ZXGCYzRm0lJE3q&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F1HJZ4BsxaP%2F%3Fmibextid%3DwwXIfr Instagram https://www.instagram.com/fifth_stanza_press?igsh=MTJsZmZhN2ViMzA2cQ%3D%3D",pending What Do You Look For In A Submission? We believe in the power of mining creativity from life experience. The richness of your experience—and how this is reflected in your poems—matters to us and the community of readers we’re building.
fifth wheel press,http://fifthwheelpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Drama, Essays, Experimental, Flash Fiction, Interviews, Reviews, Visual Art",2019,"Owings Mills, MD",Nat Raum,Editor-in-Chief,"Originally founded by editor-in-chief nat raum in 2019 as a photobook press for lens-based artists of marginalized genders, fifth wheel press is a space for those who are historically underrepresented in creative communities. We aim to publish dynamic art and writing by queer, trans, and gender variant creatives in the form of monographs, zines, anthologies, chapbooks, and more. We believe a truly inclusive space must be intersectional; as such, we welcome, celebrate, and prioritize submissions from those who belong to other marginalized groups in addition to the queer community, including but not limited to BIPOC, disabled, and neurodivergent artists and writers.  fifth wheel press is based primarily on the unceded territory of the Piscataway Conoy and Susquehannock Tribes (Baltimore, MD, USA).","yes Submission Guidelines URL https://fifthwheelpress.com/submit Reading Period Varies Response Time 2 months Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Contests no",Asterism
First Matter Press,https://www.firstmatterpress.org/,Press,"Essays, Fiction, Poetry, Visual Art",2017,"Portland, OR",Ash Goodwin,President,"First Matter Press is a non-profit press in Portland, Oregon founded in 2018 to dissolve publication barriers for first-time poets and genre-breaking writers.  ​We amplify local voices while empowering authorial ownership. With 22 titles available or in production, our annual releases center community and craft by inviting authors into a creative cohort where they crystallize manuscripts in dialogue with editors and fellow writers and collaborate with featured artists on original cover art. First Matter Press is a 501(c)(3) non-profit organization and our authors maintain 100% copyrights and sales royalties of their published work.  We actively practice bias-awareness, inclusion and equity. We encourage submissions from BIPOC, LGBTQIA+ and neurodiverse authors.",No Contests no,
Flipped Mitten Press,https://www.flippedmittenpress.com/,Press,"Fiction, Poetry, Visual Art",2021,"Ligonier, IN",Kristy Burmeister,,"We are an independent publisher of poetry, memoir, and genre fiction. Flipped Mitten Press champions emerging authors, especially those who are frequently overlooked by the publishing industry.  What do we mean by “overlooked” authors? To us, this looks like (but isn’t limited to): BIPOC, women, LGBTQ+, neurodiverse, disabled, and working-class writers. If you face systemic barriers while trying to break into the literary world, we mean you.  As we deeply understand the power of storytelling and resilience, we’re committed to fostering a nurturing environment where authors find support, encouragement, and compensation for their creative work.",No Charges Writers A Submission/Reading Fee no Contests no,
Foofaraw,https://foofaraw.press,"Magazine, Online, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Criticism Reviews, Essays, Graphic Novels Comics, Interviews, Sci Fi Fantasy Speculative",2022,"Napa, CA",Kevin Kortum,Editor,Spread the love of surreal storytelling and give outsiders a place to share their voices.,No Charges Writers A Submission/Reading Fee no Contests no,
